Visit Information for OP Package 2406406f01

VISIT ID       PCS MODE    VISIT TYPE                     SCHEDULED START TIME  DURATION     SCIENCE INSTRUMENT AND MODE                         TARGET NAME                      CATEGORY                        KEYWORDS                        
-------------  ----------  -----------------------------  --------------------  -----------  --------------------------------------------------  -------------------------------  ------------------------------  --------------------------------
3368:1:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-04T23:35:00Z  00/00:58:50  MIRI Medium Resolution Spectroscopy                 IR05189                          Galaxy                          Infrared galaxies, Interacting galaxies
3368:2:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T00:39:37Z  00/00:33:05  MIRI Medium Resolution Spectroscopy                 IR05189                          Galaxy                          Infrared galaxies, Interacting galaxies
3368:139:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T01:18:18Z  00/00:23:05  MIRI Imaging                                        IR05189                          Galaxy                          Infrared galaxies, Interacting galaxies
3195:6:1       MOVING      PRIME TARGETED MOVING          2024-03-05T03:16:50Z  00/01:21:25  MIRI Medium Resolution Spectroscopy                 URSINA                           Solar System                    Asteroid
3195:106:1     MOVING      PRIME TARGETED MOVING          2024-03-05T05:33:37Z  00/00:16:18  MIRI Medium Resolution Spectroscopy                 URSINA-BKGD                      Solar System                    Asteroid
4497:14:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T06:27:01Z  00/00:33:40  MIRI Imaging                                        WD1057+719                       Star                            White dwarfs
3930:311:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T07:17:14Z  00/00:41:44  MIRI Low Resolution Spectroscopy                    2MASS_J09111297+7401081          Star                            L dwarfs
4494:5:1       COARSE      PRIME TARGETED FIXED           2024-03-05T08:21:34Z  00/00:17:02  FGS Internal Flat                                   Northern-FGS-Lamp-field          Calibration                     Telescope/sky background
4494:6:1       COARSE      PRIME TARGETED FIXED           2024-03-05T08:43:47Z  00/00:13:59  FGS Internal Flat                                   Northern-FGS-Lamp-field          Calibration                     Telescope/sky background
4494:7:1       COARSE      PRIME TARGETED FIXED           2024-03-05T09:03:45Z  00/00:13:59  FGS Internal Flat                                   Northern-FGS-Lamp-field          Calibration                     Telescope/sky background
4494:8:1       COARSE      PRIME TARGETED FIXED           2024-03-05T09:22:21Z  00/00:13:59  FGS Internal Flat                                   Northern-FGS-Lamp-field          Calibration                     Telescope/sky background
4460:16:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T10:05:17Z  00/02:40:31  NIRSpec Fixed Slit Spectroscopy                     1743045                          Calibration                     A stars, External flat field, Spectrophotometric
3989:13:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T13:13:16Z  00/00:55:12  NIRCam Coronagraphic Imaging                        HD113337                         Star                            F stars
3989:14:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-05T14:31:20Z  00/01:30:59  NIRCam Coronagraphic Imaging                        HD125161                         Star                            A stars
